phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014864,Madhya Pradesh,Mandsaur,Sitamau,Laduna,23.98960102,75.35170413,False,,,
PHCR014865,Madhya Pradesh,Sagar,Banda,Chakeri Bineka,23.98971094,78.85971096,False,,,
PHCR014866,Madhya Pradesh,Umaria,Manpur,Indwar,23.99510984,81.01148791,False,,,
PHCR014867,Madhya Pradesh,Vidisha,Nateran,Mahu,24.00099374,77.77469166,False,,,
PHCR014868,Madhya Pradesh,Damoh,Patharia,Jerat,24.00624231,79.30848375,False,,,
PHCR014869,Madhya Pradesh,Dhar,Sardarpur,Rajgarh,24.007882,76.72788,False,,,
PHCR014870,Madhya Pradesh,Shahdol,Beohari,Nipania,24.01111667,81.12659167,False,,,
PHCR014871,Madhya Pradesh,Singroli,Baidhan (Singrauli),Khanua,24.031965,82.30523833,False,,,
PHCR014872,Madhya Pradesh,Rajgarh,Rajgarh,Kalipith,24.03249746,76.84246634,False,,,
PHCR014873,Madhya Pradesh,Sidhi,Kusmi,Tamsar,24.03548052,81.92154743,False,,,
PHCR014874,Madhya Pradesh,Vidisha,Kurwai,Bandarbatha,24.03574,78.233374,False,,,
PHCR014875,Madhya Pradesh,Satna,Maihar,Sabhaganj,24.03763708,80.45696317,False,,,
PHCR014876,Madhya Pradesh,Rajgarh,Khilchipur,Somwariya,24.040378,76.578333,False,,,
